装備ID,装備名,開発日時,燃料,弾薬,鋼材,ボーキ,旗艦ID,旗艦名,旗艦艦種,司令部Lv
-1,(失敗),2016/09/16 20:48:32,10,251,250,30,136,大和改,9,114
8,41cm連装砲,2016/09/16 20:48:59,10,251,250,30,136,大和改,9,114
39,25mm連装機銃,2016/09/16 20:49:08,10,251,250,30,136,大和改,9,114
-1,(失敗),2016/09/17 22:01:22,10,251,250,30,136,大和改,9,114
39,25mm連装機銃,2016/09/17 22:03:11,10,251,250,30,136,大和改,9,114
-1,(失敗),2016/09/17 22:03:22,10,251,250,30,136,大和改,9,114
7,35.6cm連装砲,2016/09/17 22:03:33,10,251,250,30,136,大和改,9,114
13,61cm三連装魚雷,2016/09/18 09:45:50,10,251,250,30,136,大和改,9,114
36,九一式徹甲弾,2016/09/18 09:51:18,10,251,250,30,136,大和改,9,114
-1,(失敗),2016/09/18 09:51:50,10,251,250,30,136,大和改,9,114
5,15.5cm三連装砲,2016/09/18 09:52:21,10,251,250,30,136,大和改,9,114
