敵編成ID,敵艦隊名,海域,海域,セル,難易度,陣形,敵1番艦,敵2番艦,敵3番艦,敵4番艦,敵5番艦,敵6番艦,敵1番艦名,敵2番艦名,敵3番艦名,敵4番艦名,敵5番艦名,敵6番艦名,経験値
2229793804,敵偵察艦隊,1,4,1,なし,複縦陣,506,506,503,503,-1,-1,軽巡ヘ級,軽巡ヘ級,駆逐ハ級,駆逐ハ級,-,-,100
3761177089,敵偵察艦隊,1,4,1,なし,単縦陣,509,506,501,501,501,-1,重巡リ級,軽巡ヘ級,駆逐イ級,駆逐イ級,駆逐イ級,-,100
3016132746,敵偵察艦隊,1,4,2,なし,複縦陣,506,506,503,503,-1,-1,軽巡ヘ級,軽巡ヘ級,駆逐ハ級,駆逐ハ級,-,-,100
1564359057,敵偵察艦隊,1,4,2,なし,複縦陣,509,506,502,502,-1,-1,重巡リ級,軽巡ヘ級,駆逐ロ級,駆逐ロ級,-,-,100
652639777,敵前衛艦隊,1,4,7,なし,輪形陣,510,510,505,502,502,-1,軽母ヌ級,軽母ヌ級,軽巡ホ級,駆逐ロ級,駆逐ロ級,-,100
2087918373,敵前衛艦隊,1,4,7,なし,輪形陣,510,510,509,503,503,-1,軽母ヌ級,軽母ヌ級,重巡リ級,駆逐ハ級,駆逐ハ級,-,100
1634281502,敵前衛艦隊,1,4,8,なし,輪形陣,510,510,509,502,502,-1,軽母ヌ級,軽母ヌ級,重巡リ級,駆逐ロ級,駆逐ロ級,-,100
2720490637,敵機動部隊,1,4,10,なし,輪形陣,512,510,509,506,503,503,空母ヲ級,軽母ヌ級,重巡リ級,軽巡ヘ級,駆逐ハ級,駆逐ハ級,100
3369061746,敵機動部隊,1,4,10,なし,輪形陣,512,512,509,506,503,503,空母ヲ級,空母ヲ級,重巡リ級,軽巡ヘ級,駆逐ハ級,駆逐ハ級,100
1082168315,敵機動部隊,1,4,10,なし,輪形陣,512,512,509,509,506,504,空母ヲ級,空母ヲ級,重巡リ級,重巡リ級,軽巡ヘ級,駆逐ニ級,100
2960609797,敵機動部隊,1,4,12,なし,輪形陣,512,510,509,506,503,503,空母ヲ級,軽母ヌ級,重巡リ級,軽巡ヘ級,駆逐ハ級,駆逐ハ級,100
1471400852,敵機動部隊,1,4,12,なし,輪形陣,512,512,509,506,503,503,空母ヲ級,空母ヲ級,重巡リ級,軽巡ヘ級,駆逐ハ級,駆逐ハ級,100
108009795,敵偵察潜水艦,1,5,1,なし,単縦陣,532,-1,-1,-1,-1,-1,潜水カ級 elite,-,-,-,-,-,150
2436078450,敵潜水艦隊A群,1,5,2,なし,梯形陣,532,530,530,-1,-1,-1,潜水カ級 elite,潜水カ級,潜水カ級,-,-,-,150
3837386849,敵潜水艦隊C群,1,5,4,なし,単横陣,533,532,530,530,-1,-1,潜水ヨ級 elite,潜水カ級 elite,潜水カ級,潜水カ級,-,-,150
1373742552,敵通商破壊主力艦隊,1,5,10,なし,梯形陣,535,532,532,530,-1,-1,潜水ヨ級 flagship,潜水カ級 elite,潜水カ級 elite,潜水カ級,-,-,150
1948916611,通商破壊潜水艦隊 III群,1,6,3,なし,梯形陣,530,530,530,530,530,-1,潜水カ級,潜水カ級,潜水カ級,潜水カ級,潜水カ級,-,30
3372990476,通商破壊潜水艦隊 III群,1,6,3,なし,梯形陣,532,530,530,530,530,-1,潜水カ級 elite,潜水カ級,潜水カ級,潜水カ級,潜水カ級,-,40
3339578854,任務部隊C群 機動部隊,1,6,12,なし,輪形陣,525,522,501,501,501,501,空母ヲ級 elite,重巡リ級 elite,駆逐イ級,駆逐イ級,駆逐イ級,駆逐イ級,50
3972259198,任務部隊C群 機動部隊,1,6,12,なし,輪形陣,560,523,522,501,501,501,軽母ヌ級 flagship,軽母ヌ級 elite,重巡リ級 elite,駆逐イ級,駆逐イ級,駆逐イ級,60
2229502230,任務部隊C群 前衛部隊,1,6,13,なし,単縦陣,527,555,575,575,501,501,重巡リ級 flagship,軽巡ヘ級 flagship,駆逐イ級後期型,駆逐イ級後期型,駆逐イ級,駆逐イ級,150
4256180523,任務部隊C群 前衛部隊,1,6,13,なし,単縦陣,555,575,575,501,501,501,軽巡ヘ級 flagship,駆逐イ級後期型,駆逐イ級後期型,駆逐イ級,駆逐イ級,駆逐イ級,120
868663848,敵前衛部隊,2,1,1,なし,複縦陣,509,506,503,503,503,-1,重巡リ級,軽巡ヘ級,駆逐ハ級,駆逐ハ級,駆逐ハ級,-,120
74141014,敵前衛部隊,2,1,1,なし,単縦陣,509,506,506,501,502,502,重巡リ級,軽巡ヘ級,軽巡ヘ級,駆逐イ級,駆逐ロ級,駆逐ロ級,120
1300161062,敵護衛空母群,2,1,4,なし,輪形陣,510,510,509,509,503,503,軽母ヌ級,軽母ヌ級,重巡リ級,重巡リ級,駆逐ハ級,駆逐ハ級,120
149784266,敵護衛空母群,2,1,4,なし,輪形陣,510,510,510,505,502,502,軽母ヌ級,軽母ヌ級,軽母ヌ級,軽巡ホ級,駆逐ロ級,駆逐ロ級,120
2284313964,敵護衛空母群,2,1,4,なし,輪形陣,510,510,510,509,503,503,軽母ヌ級,軽母ヌ級,軽母ヌ級,重巡リ級,駆逐ハ級,駆逐ハ級,120
3117968624,敵主力艦隊,2,1,6,なし,複縦陣,511,512,512,509,503,503,戦艦ル級,空母ヲ級,空母ヲ級,重巡リ級,駆逐ハ級,駆逐ハ級,120
3331787166,敵水雷戦隊,2,2,1,なし,単横陣,506,506,502,502,501,501,軽巡ヘ級,軽巡ヘ級,駆逐ロ級,駆逐ロ級,駆逐イ級,駆逐イ級,150
1142649758,敵水雷戦隊,2,2,1,なし,梯形陣,507,508,508,502,501,501,軽巡ト級,雷巡チ級,雷巡チ級,駆逐ロ級,駆逐イ級,駆逐イ級,150
1689808748,敵水雷戦隊,2,2,1,なし,単縦陣,508,508,503,502,502,502,雷巡チ級,雷巡チ級,駆逐ハ級,駆逐ロ級,駆逐ロ級,駆逐ロ級,150
572727137,敵運送船団,2,2,4,なし,複縦陣,509,509,513,513,513,513,重巡リ級,重巡リ級,輸送ワ級,輸送ワ級,輸送ワ級,輸送ワ級,150
1891947322,敵運送船団,2,2,4,なし,複縦陣,511,517,504,513,513,513,戦艦ル級,駆逐ニ級 elite,駆逐ニ級,輸送ワ級,輸送ワ級,輸送ワ級,150
2754143600,敵運送船団,2,2,4,なし,複縦陣,511,520,504,504,513,513,戦艦ル級,軽巡ト級 elite,駆逐ニ級,駆逐ニ級,輸送ワ級,輸送ワ級,150
250414174,敵運送船団,2,2,6,なし,複縦陣,511,517,504,513,513,513,戦艦ル級,駆逐ニ級 elite,駆逐ニ級,輸送ワ級,輸送ワ級,輸送ワ級,150
289990915,敵運送船団,2,2,6,なし,複縦陣,511,520,504,504,513,513,戦艦ル級,軽巡ト級 elite,駆逐ニ級,駆逐ニ級,輸送ワ級,輸送ワ級,150
1297630147,敵通商破壊艦隊,2,2,7,なし,複縦陣,522,509,519,506,504,504,重巡リ級 elite,重巡リ級,軽巡ヘ級 elite,軽巡ヘ級,駆逐ニ級,駆逐ニ級,150
2749283405,敵通商破壊艦隊,2,2,7,なし,単縦陣,522,509,521,506,504,504,重巡リ級 elite,重巡リ級,雷巡チ級 elite,軽巡ヘ級,駆逐ニ級,駆逐ニ級,150
2027473306,敵通商破壊艦隊,2,2,7,なし,輪形陣,525,525,522,507,503,503,空母ヲ級 elite,空母ヲ級 elite,重巡リ級 elite,軽巡ト級,駆逐ハ級,駆逐ハ級,150
3775494377,敵巡洋艦隊,2,3,1,なし,単縦陣,509,508,520,506,502,502,重巡リ級,雷巡チ級,軽巡ト級 elite,軽巡ヘ級,駆逐ロ級,駆逐ロ級,200
1449442088,敵巡洋艦隊,2,3,1,なし,単縦陣,521,507,505,505,501,501,雷巡チ級 elite,軽巡ト級,軽巡ホ級,軽巡ホ級,駆逐イ級,駆逐イ級,200
2647581887,敵巡洋艦隊,2,3,1,なし,複縦陣,522,509,507,506,503,503,重巡リ級 elite,重巡リ級,軽巡ト級,軽巡ヘ級,駆逐ハ級,駆逐ハ級,200
3500098331,敵強襲揚陸艦隊,2,3,3,なし,複縦陣,509,510,510,506,513,513,重巡リ級,軽母ヌ級,軽母ヌ級,軽巡ヘ級,輸送ワ級,輸送ワ級,200
265411232,敵強襲揚陸艦隊,2,3,3,なし,単縦陣,511,510,510,509,513,513,戦艦ル級,軽母ヌ級,軽母ヌ級,重巡リ級,輸送ワ級,輸送ワ級,200
1568084535,敵強襲揚陸艦隊,2,3,3,なし,輪形陣,512,511,510,510,513,513,空母ヲ級,戦艦ル級,軽母ヌ級,軽母ヌ級,輸送ワ級,輸送ワ級,200
2336176022,敵巡洋艦隊,2,3,5,なし,単縦陣,509,508,520,506,502,502,重巡リ級,雷巡チ級,軽巡ト級 elite,軽巡ヘ級,駆逐ロ級,駆逐ロ級,200
4242584104,敵巡洋艦隊,2,3,5,なし,単縦陣,521,507,505,505,501,501,雷巡チ級 elite,軽巡ト級,軽巡ホ級,軽巡ホ級,駆逐イ級,駆逐イ級,200
